Catch in Numbers (thousands)
1 2
1957 2011
1 7
1
0	7709	9965	1394	6235	2062	1720
100	3349	9410	6130	4065	5584	6666
1060	7251	3585	8642	3222	1757	3699
516	18221	7373	3551	2284	770	1924
1768	7129	14342	6598	2481	2392	1659
259	7170	5535	10427	5235	3322	7289
132	6446	5929	2032	3192	3541	5889
88	7030	5903	4048	2195	3972	9168
234	3847	10135	9008	2426	2019	13362
0	16809	11894	10319	7392	3356	16208
0	1232	55013	12681	9071	6348	16482
574	10192	4702	78638	5316	4534	6068
1495	15038	13013	4410	54809	4918	8324
135	35114	26007	13243	3895	40181	6560
883	6177	7038	10856	8826	3938	44999
1001	28786	20534	6191	11145	10057	55730
6423	40390	47389	16863	7432	12383	62140
3374	29406	41116	44579	17857	8882	51722
7360	41308	25117	29192	23718	10703	47316
16613	29011	37512	26544	25317	15000	24507
4485	44512	13396	17176	12209	9924	11044
10170	40320	27079	13308	10685	5356	11232
5919	50071	19161	19969	9349	8422	13956
2856	40058	64946	25140	22126	7748	16624
1620	22265	41794	31460	12812	12746	11416
748	18136	17004	28220	18280	8121	10213
1517	43688	49534	25316	31782	18320	14275
2794	81481	28660	17854	7190	12836	12002
9606	15143	67355	12756	11241	7638	18940
918	27110	27818	66383	14644	7988	13245
12149	44160	80213	41504	99222	15226	28908
0	29135	46300	41008	23381	45692	11392
2241	6919	78842	26149	21481	15008	32166
878	24977	19500	151978	24362	20164	25628
675	34437	27810	12420	100444	17921	33836
2592	15519	42532	26839	12565	73307	23024
191	20562	22666	41967	23379	13547	80949
11709	56156	31225	16877	21772	13644	50419
284	34471	35414	18617	19133	16081	28549
4776	24424	69307	31128	9842	15314	27093
7458	56329	25946	38742	14583	5977	16033
7437	72777	80612	38326	30165	9138	11658
2392	51254	61329	34901	10092	5887	3915
4101	34564	38925	30706	13345	2735	3756
2316	21717	21780	17533	18450	9953	3276
4058	32640	37749	18882	11623	10215	4996
1731	32819	28714	24189	9432	5176	3751
1401	15122	32992	19720	9006	4924	2845
209	28123	30896	26887	10774	5452	2449
598	22036	36700	30581	21956	9080	3619
76	24577	43958	23399	13738	5474	2187
483	12265	19661	28483	11110	5989	3750
202	12574	12077	12096	12574	5239	2910
1271	13507	20127	6541	7588	6780	3413
121	14207	9315	9114	3386	3780	3946
