Haddock in IV and IIIa(N) (WGNSSK 2012): Tuning data
105															
EngGFS Q3 GRT
1977	1991														
1	1	0.5	0.75												
0	6														
100	573.023	266.912	303.546	17.888	6.49	2.15
100	912.559	328.062	45.201	58.262	4.345	2.434
100	101.691	677.641	97.149	12.684	13.965	2.072
100	219.705	98.091	274.788	16.653	2.113	4.697
100	217.448	139.114	32.997	50.367	3.163	1.801
100	680.231	134.076	25.032	4.26	8.476	2.43
100	1141.396	331.044	17.035	3.026	0.664	2.202
100	1242.121	519.521	152.384	8.848	1.076	0.953
100	227.919	491.051	97.656	23.308	1.566	0.788
100	1355.485	201.069	176.165	24.354	5.286	0.816
100	267.411	813.268	65.869	46.691	7.734	3.061
100	849.943	353.882	466.731	24.987	15.238	3.429
100	357.597	420.926	103.531	112.632	8.758	5.412
100	211.139	222.907	127.064	48.217	36.65	4.35
100	3482.017	96.075	43.255	24.163	11.804	9.935
100	894.651	2255.213	47.899	10.962	7.218	5.76
100	57.312	473.628	1309.589	9.179	6.886	4.137
100	89.991	39.267	241.529	532.024	5.354	2.432
100	71.877	79.617	35.471	173.617	329.991	1.063
100	69.697	60.982	33.156	10.393	59.105	98.227
100	766.995	38.742	22.038	6.998	3.175	40.456
100	66.313	304.067	19.316	6.73	2.027	11.395
100	60.047	106.461	239.293	14.781	1.553	6.327
100	74.725	139.651	102.557	135.235	2.508	2.191
100	686.401	71.685	67.722	51.077	90.303	8.865
100	46.375	772.907	98.972	35.182	46.947	98.149
100	14.468	55.952	396.448	20.685	13.202	23.446
