country,year,metier,fleet,stock,category,catch
PT,2015,DEF_0_0_0,PT_GNS,LDB,landings,1
PT,2016,DEF_0_0_0,PT_GNS,LDB,landings,1
PT,2017,DEF_0_0_0,PT_GNS,LDB,landings,0
SP,2015,DEF_60_79_0_0,SP_GNS,LDB,landings,3
SP,2016,DEF_60_79_0_0,SP_GNS,LDB,landings,1
SP,2017,DEF_60_79_0_0,SP_GNS,LDB,landings,2
SP,2015,DEF_80_99_0_0,SP_GNS,LDB,landings,20
SP,2016,DEF_80_99_0_0,SP_GNS,LDB,landings,16
SP,2017,DEF_80_99_0_0,SP_GNS,LDB,landings,2
PT,2014,DEF_0_0_0,PT_GTR,LDB,landings,3
PT,2015,DEF_0_0_0,PT_GTR,LDB,landings,2
PT,2016,DEF_0_0_0,PT_GTR,LDB,landings,1
PT,2017,DEF_0_0_0,PT_GTR,LDB,landings,1
SP,2015,DEF_60_79_0_0,SP_GTR,LDB,landings,3
SP,2016,DEF_60_79_0_0,SP_GTR,LDB,landings,2
SP,2017,DEF_60_79_0_0,SP_GTR,LDB,landings,4
SP,2016,DEF_0_0_0,SP_LLS,LDB,landings,0
PT,2014,MIS_0_0_0_HC,PT_MIS,LDB,landings,18
PT,2015,MIS_0_0_0_HC,PT_MIS,LDB,landings,26
SP,2015,MIS_0_0_0_HC,SP_MIS,LDB,landings,0
PT,2016,MIS_0_0_0_HC,PT_MIS,LDB,landings,18
SP,2016,MIS_0_0_0_HC,SP_MIS,LDB,landings,0
PT,2017,MIS_0_0_0_HC,PT_MIS,LDB,landings,4
PT,2014,CRU_55_0_0,PT_OTB,LDB,landings,13
PT,2015,CRU_55_0_0,PT_OTB,LDB,landings,9
PT,2016,CRU_55_0_0,PT_OTB,LDB,landings,10
PT,2017,CRU_55_0_0,PT_OTB,LDB,landings,12
PT,2014,DEF_65_0_0,PT_OTB,LDB,landings,107
PT,2015,DEF_65_0_0,PT_OTB,LDB,landings,100
SP,2015,DEF_65_0_0,SP_OTB,LDB,landings,854
PT,2016,DEF_65_0_0,PT_OTB,LDB,landings,75
SP,2016,DEF_65_0_0,SP_OTB,LDB,landings,838
PT,2017,DEF_65_0_0,PT_OTB,LDB,landings,122
SP,2017,DEF_65_0_0,SP_OTB,LDB,landings,676
SP,2015,MPD_55_0_0,SP_OTB,LDB,landings,107
SP,2016,MPD_55_0_0,SP_OTB,LDB,landings,119
SP,2017,MPD_55_0_0,SP_OTB,LDB,landings,93
SP,2015,MCD_55_0_0,SP_OTB_24m,LDB,landings,13
SP,2016,MCD_55_0_0,SP_OTB_24m,LDB,landings,5
SP,2017,MCD_55_0_0,SP_OTB_24m,LDB,landings,3
OTH,2017,OTH,OTH_OTH,LDB,landings,5
SP,2015,MPD_55_0_0,SP_PTB,LDB,landings,2
SP,2016,MPD_55_0_0,SP_PTB,LDB,landings,1
SP,2017,MPD_55_0_0,SP_PTB,LDB,landings,3
SP,2015,DEF_100_0_0,SP_GNS,MEG,landings,3
SP,2016,DEF_100_0_0,SP_GNS,MEG,landings,0
PT,2014,DEF_0_0_0,PT_GNS,MEG,landings,0
PT,2015,DEF_0_0_0,PT_GNS,MEG,landings,0
PT,2016,DEF_0_0_0,PT_GNS,MEG,landings,0
PT,2017,DEF_0_0_0,PT_GNS,MEG,landings,0
SP,2015,DEF_60_79_0_0,SP_GNS,MEG,landings,1
SP,2016,DEF_60_79_0_0,SP_GNS,MEG,landings,1
SP,2017,DEF_60_79_0_0,SP_GNS,MEG,landings,1
SP,2015,DEF_80_99_0_0,SP_GNS,MEG,landings,6
SP,2016,DEF_80_99_0_0,SP_GNS,MEG,landings,2
SP,2017,DEF_80_99_0_0,SP_GNS,MEG,landings,1
PT,2014,DEF_0_0_0,PT_GTR,MEG,landings,1
PT,2015,DEF_0_0_0,PT_GTR,MEG,landings,0
PT,2016,DEF_0_0_0,PT_GTR,MEG,landings,0
PT,2017,DEF_0_0_0,PT_GTR,MEG,landings,0
SP,2015,DEF_60_79_0_0,SP_GTR,MEG,landings,1
SP,2016,DEF_60_79_0_0,SP_GTR,MEG,landings,1
SP,2017,DEF_60_79_0_0,SP_GTR,MEG,landings,1
PT,2014,MIS_0_0_0_HC,PT_MIS,MEG,landings,4
PT,2015,MIS_0_0_0_HC,PT_MIS,MEG,landings,4
SP,2015,MIS_0_0_0_HC,SP_MIS,MEG,landings,0
PT,2016,MIS_0_0_0_HC,PT_MIS,MEG,landings,3
SP,2016,MIS_0_0_0_HC,SP_MIS,MEG,landings,0
PT,2017,MIS_0_0_0_HC,PT_MIS,MEG,landings,0
PT,2014,CRU_55_0_0,PT_OTB,MEG,landings,3
PT,2015,CRU_55_0_0,PT_OTB,MEG,landings,1
PT,2016,CRU_55_0_0,PT_OTB,MEG,landings,1
PT,2017,CRU_55_0_0,PT_OTB,MEG,landings,1
PT,2014,DEF_65_0_0,PT_OTB,MEG,landings,23
PT,2015,DEF_65_0_0,PT_OTB,MEG,landings,17
SP,2015,DEF_65_0_0,SP_OTB,MEG,landings,184
PT,2016,DEF_65_0_0,PT_OTB,MEG,landings,11
SP,2016,DEF_65_0_0,SP_OTB,MEG,landings,191
PT,2017,DEF_65_0_0,PT_OTB,MEG,landings,14
SP,2017,DEF_65_0_0,SP_OTB,MEG,landings,182
SP,2015,MPD_55_0_0,SP_OTB,MEG,landings,57
SP,2016,MPD_55_0_0,SP_OTB,MEG,landings,24
SP,2017,MPD_55_0_0,SP_OTB,MEG,landings,45
SP,2015,MCD_55_0_0,SP_OTB_24m,MEG,landings,0
SP,2017,MCD_55_0_0,SP_OTB_24m,MEG,landings,1
OTH,2017,OTH,OTH_OTH,MEG,landings,1
SP,2015,MPD_55_0_0,SP_PTB,MEG,landings,1
SP,2016,MPD_55_0_0,SP_PTB,MEG,landings,0
SP,2017,MPD_55_0_0,SP_PTB,MEG,landings,1
SP,2014,DEF_100_0_0,SP_GNS,MON,landings,760
SP,2015,DEF_100_0_0,SP_GNS,MON,landings,692
SP,2016,DEF_100_0_0,SP_GNS,MON,landings,710
SP,2017,DEF_100_0_0,SP_GNS,MON,landings,645
PT,2014,DEF_0_0_0,PT_GNS,MON,landings,1
PT,2015,DEF_0_0_0,PT_GNS,MON,landings,3
PT,2016,DEF_0_0_0,PT_GNS,MON,landings,3
PT,2017,DEF_0_0_0,PT_GNS,MON,landings,0
SP,2015,DEF_60_79_0_0,SP_GNS,MON,landings,18
SP,2016,DEF_60_79_0_0,SP_GNS,MON,landings,13
SP,2017,DEF_60_79_0_0,SP_GNS,MON,landings,8
SP,2015,DEF_80_99_0_0,SP_GNS,MON,landings,4
SP,2016,DEF_80_99_0_0,SP_GNS,MON,landings,15
SP,2017,DEF_80_99_0_0,SP_GNS,MON,landings,2
PT,2014,DEF_0_0_0,PT_GTR,MON,landings,2
PT,2015,DEF_0_0_0,PT_GTR,MON,landings,5
PT,2016,DEF_0_0_0,PT_GTR,MON,landings,3
PT,2017,DEF_0_0_0,PT_GTR,MON,landings,15
SP,2014,DEF_60_79_0_0,SP_GTR,MON,landings,402
SP,2015,DEF_60_79_0_0,SP_GTR,MON,landings,275
SP,2016,DEF_60_79_0_0,SP_GTR,MON,landings,322
SP,2017,DEF_60_79_0_0,SP_GTR,MON,landings,216
SP,2015,DEF_0_0_0,SP_LLS,MON,landings,0
SP,2016,DEF_0_0_0,SP_LLS,MON,landings,2
SP,2017,DEF_0_0_0,SP_LLS,MON,landings,0
PT,2014,MIS_0_0_0_HC,PT_MIS,MON,landings,118
SP,2014,MIS_0_0_0_HC,SP_MIS,MON,landings,32
PT,2015,MIS_0_0_0_HC,PT_MIS,MON,landings,193
SP,2015,MIS_0_0_0_HC,SP_MIS,MON,landings,5
PT,2016,MIS_0_0_0_HC,PT_MIS,MON,landings,114
